Matrix size;Block size;Phase;Algorithm;Time(s)
256;8;3;zor;0.101050
256;16;3;zor;0.095983
256;32;3;zor;0.100365
256;64;3;zor;0.095149
256;128;3;zor;0.096047
256;256;3;zor;0.099057
398;-;3;row;0.393957
398;-;3;col;0.393225
398;1;3;zor;0.785870
398;2;3;zor;0.466301
398;199;3;zor;0.381312
398;398;3;zor;0.428297
512;-;3;row;0.922941
512;-;3;col;0.890616
512;1;3;zor;1.739128
512;2;3;zor;1.088492
512;4;3;zor;0.897448
512;8;3;zor;0.803363
512;16;3;zor;0.765577
512;32;3;zor;0.794658
512;64;3;zor;0.739037
512;128;3;zor;0.816242
512;256;3;zor;0.848119
512;512;3;zor;0.946162
636;-;3;row;1.796571
636;-;3;col;1.721229
636;1;3;zor;3.411054
636;2;3;zor;2.047692
636;3;3;zor;1.726751
636;4;3;zor;1.706589
636;6;3;zor;1.552673
636;12;3;zor;1.470039
636;53;3;zor;1.591324
636;106;3;zor;1.722747
636;159;3;zor;1.831343
636;212;3;zor;1.842684
636;318;3;zor;1.819240
636;636;3;zor;1.904103
774;-;3;row;3.318547
774;-;3;col;3.097386
774;1;3;zor;6.391794
774;2;3;zor;3.789693
774;3;3;zor;3.138004
774;6;3;zor;2.774286
774;9;3;zor;2.716715
774;18;3;zor;2.838026
774;43;3;zor;2.500042
774;86;3;zor;2.730783
774;129;3;zor;2.901430
774;258;3;zor;2.886327
774;387;3;zor;2.947561
774;774;3;zor;3.477590
892;-;3;row;4.989206
892;-;3;col;4.763061
892;1;3;zor;9.406909
892;2;3;zor;5.715201
892;4;3;zor;4.662230
892;223;3;zor;4.979634
892;446;3;zor;5.078377
892;892;3;zor;5.265879
1024;-;3;row;8.309243
1024;-;3;col;7.257873
1024;1;3;zor;14.917007
1024;2;3;zor;8.402720
1024;4;3;zor;6.937371
1024;8;3;zor;6.401457
1024;16;3;zor;6.073250
1024;32;3;zor;6.442927
1024;64;3;zor;6.353416
1024;128;3;zor;6.950548
1024;256;3;zor;6.799866
1024;512;3;zor;8.226749
1024;1024;3;zor;8.760761
1152;-;3;row;12.036074
1152;-;3;col;10.432637
1152;1;3;zor;21.562780
1152;2;3;zor;12.634832
1152;3;3;zor;10.538298
1152;4;3;zor;10.233593
1152;6;3;zor;9.270294
1152;8;3;zor;9.168260
1152;9;3;zor;9.084746
1152;12;3;zor;8.845926
1152;16;3;zor;8.622356
1152;18;3;zor;9.447649
1152;24;3;zor;8.571566
1152;32;3;zor;9.041881
1152;36;3;zor;8.441953
1152;48;3;zor;8.661723
1152;64;3;zor;9.193332
1152;72;3;zor;9.340192
1152;96;3;zor;9.851145
1152;128;3;zor;9.869170
1152;144;3;zor;9.843019
1152;192;3;zor;9.793545
1152;288;3;zor;9.847657
1152;384;3;zor;10.289237
1152;576;3;zor;12.254605
1152;1152;3;zor;12.591440
1280;-;3;row;17.144700
1280;-;3;col;14.620171
1280;1;3;zor;30.265716
1280;2;3;zor;17.793195
1280;4;3;zor;14.345632
1280;5;3;zor;13.366586
1280;8;3;zor;12.808254
1280;10;3;zor;12.469958
1280;16;3;zor;11.899183
1280;20;3;zor;11.794156
1280;32;3;zor;12.500179
1280;40;3;zor;11.760022
1280;64;3;zor;12.509401
1280;80;3;zor;13.303199
1280;128;3;zor;13.364846
1280;160;3;zor;13.411694
1280;256;3;zor;13.428233
